SNO,Gender,I am able to quickly adapt to changes in life,I trust others easily,I feel satisfied with my personal life,I feel satisfied with my school life,I feel responsible for doing well in my life,I feel confident about my body image,I can understand and respect others  viewpoints,I hesitate to ask questions in class,I find it difficult to initiate conversations,People in my life see me as a happy person,My teachers see me as a good leader,My friends consider me trustworthy,I give in to peer pressure to fit in,I worry that people do not  like me,I often find it difficult to stay focused during class,I have trouble finishing assignments or tasks on time,"I frequently forget things like assignments, books, or my personal items","I get distracted easily, even by things that aren't part of the task at hand",I often find myself daydreaming or thinking about unrelated things when I should be focusing,I have trouble sitting still or staying in one place for a long time,"I talk or move around excessively, even when it's not appropriate","I tend to act impulsively, without thinking about the consequences",I often interrupt others or have trouble waiting for my turn during conversations,I struggle with organizing tasks or managing my time effectively,"I often feel restless or find it hard to relax, even when I should be resting","When I'm asked to complete a task, I often start it but don't finish it","Do you often lose things necessary for tasks (e.g., books, pencils, assignments)?",I am satisfied with my academic performance,I am able to submit my assignments on time,What prevents you from doing well academically?,I feel anxious due to:,I feel valued when I perform well academically,I get bothered when teachers don't notice my efforts,I feel like I donât belong or fit in at school,I feel jealous of others who are more popular or successful,I don't enjoy group activities or school events,I find online classes better than offline classes,What challenges did you face during online classes?,I often feel happy,I often feel anxious,I often feel lonely or tearful,I feel hopeful during stressful situations,I can understand others feelings and respond accordingly,I get into fights with my classmates or friends,I skip school or classes without a good reason,I tend to lie or hide the truth to avoid trouble,I have trouble following rules or instructions,"When feeling low, I prefer:",I believe I can solve challenging tasks,I have people I can talk to about my feelings,I usually cope with stress by:,I feel satisfied with my eating habits,I skip meals intentionally,I eat even when I'm not hungry due to stress or emotions,I feel guilty after eating,I avoid eating in front of others,I worry excessively about gaining weight,I feel pressure to look a certain way because of social media or peers,I restrict food intake to control my weight,Do you think your eating habits affect your emotional or physical well-being?,I feel overwhelmed by my emotions,I have felt hopeless or helpless recently,I feel like life is not worth living,I have thoughts of hurting myself,I find it difficult to share my feelings with others,I take part  in risky activities,Stress Risk %,Depression Risk %,Eating Disorder Risk %,Behavioral Issues Risk %,Mental Health Risk %,Stress Classification,Depression Classification,Eating Disorder Classification,Behavioral Issues Classification,Predicted Risk %
134,Female,Always,Never,Always,Often,Rarely,Always,Often,No,Always,Always,Rarely,Rarely,Always,Sometimes,Always,Sometimes,Often,Always,Sometimes,Never,Often,Always,Sometimes,Always,Rarely,Rarely,Rarely,Never,Sometimes,Lack of concentration,I dont feel anxious,Yes,Yes,yes,No,yes,No,Lack of time management  ,Never,Rarely,Never,Rarely,No,Often,Rarely,Often,Never,Solving on my own  ,Never,No,Changing the way I think  ,Never,Sometimes,Often,Rarely,Often,Rarely,Rarely,Sometimes,Often,Often,No,No,Never,Sometimes,"Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",30.0,15.0,58.333333333333336,50.0,38.333333333333336,Moderate Risk,Low Risk,Moderate Risk,Moderate Risk,40.84791666666669
135,Female,Always,Often,Always,Never,Often,Always,Always,Yes,Rarely,Sometimes,Never,Sometimes,Always,Rarely,Never,Rarely,Never,Often,Rarely,Rarely,Rarely,Always,Sometimes,Rarely,Never,Always,Often,Never,Sometimes,Distractions,Exams,No,Yes,No,yes,yes,Yes,Technical issues  ,Never,Rarely,Often,Sometimes,Yes,Never,Never,Sometimes,Rarely,Talking to teachers  ,Always,No,Yoga or meditation  ,Rarely,Sometimes,Rarely,Always,Rarely,Always,Always,Never,Often,Never,No,No,Always,Never,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",60.0,20.0,45.83333333333333,25.0,37.70833333333333,High Risk,Low Risk,Moderate Risk,Low Risk,37.86458333333336
136,Female,Rarely,Never,Never,Rarely,Sometimes,Rarely,Always,Yes,Rarely,Often,Rarely,Often,Sometimes,Always,Sometimes,Rarely,Sometimes,Always,Sometimes,Sometimes,Never,Rarely,Often,Never,Rarely,Sometimes,Rarely,Rarely,Sometimes,Difficulty managing time,College admissions,Yes,Yes,yes,yes,No,Yes,Lack of social interaction  ,Rarely,Always,Always,Always,No,Sometimes,Always,Often,Sometimes,Waiting for things to improve  ,Rarely,Yes,Helping others  ,Never,Never,Sometimes,Never,Sometimes,Rarely,Always,Rarely,Often,Rarely,Yes,Yes,Skip,Skip,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",70.0,80.0,33.33333333333333,58.333333333333336,60.416666666666664,High Risk,High Risk,Moderate Risk,Moderate Risk,58.19375000000004
137,Prefer not to say,Often,Rarely,Never,Never,Rarely,Always,Always,No,Often,Sometimes,Often,Rarely,Never,Always,Never,Sometimes,Never,Sometimes,Often,Rarely,Always,Sometimes,Always,Rarely,Often,Often,Always,Never,Rarely,Difficulty understanding content,Studies,No,Yes,yes,No,No,No,Personal reasons  ,Never,Never,Always,Sometimes,No,Rarely,Always,Never,Sometimes,Talking to friends  ,Often,No,Watching TV  ,Always,Always,Never,Rarely,Sometimes,Rarely,Sometimes,Often,Always,Often,No,No,Rarely,Rarely,Running away from home,50.0,30.0,58.333333333333336,25.0,40.833333333333336,Moderate Risk,Moderate Risk,Moderate Risk,Low Risk,43.05833333333335
138,Male,Always,Always,Never,Sometimes,Sometimes,Rarely,Often,Yes,Rarely,Always,Never,Never,Always,Often,Rarely,Sometimes,Often,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Often,Sometimes,Never,Always,Often,Sometimes,Lack of concentration,Career,No,No,yes,yes,yes,Yes,Electricity/internet problems  ,Often,Often,Always,Rarely,No,Sometimes,Rarely,Rarely,Always,Ignoring the feelings  ,Rarely,No,Changing the way I think  ,Rarely,Never,Often,Rarely,Never,Never,Rarely,Rarely,Never,Often,Not Sure,Not Sure,Often,Rarely,"Skipping classes, Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Running away from home, Using weapons or carrying dangerous objects that could hurt others",55.00000000000001,45.0,20.833333333333336,58.333333333333336,44.79166666666667,Moderate Risk,Moderate Risk,Low Risk,Moderate Risk,47.07916666666666
139,Prefer not to say,Rarely,Sometimes,Never,Sometimes,Never,Never,Sometimes,Yes,Never,Rarely,Always,Never,Always,Always,Rarely,Always,Always,Never,Always,Sometimes,Sometimes,Never,Always,Rarely,Rarely,Sometimes,Always,Sometimes,Always,Poor study habits,Results,No,No,No,yes,yes,No,Difficulty understanding content  ,Often,Rarely,Often,Always,Yes,Never,Rarely,Often,Never,Talking to parents  ,Sometimes,No,Writing a diary  ,Sometimes,Always,Rarely,Sometimes,Sometimes,Often,Often,Always,Sometimes,Often,No,No,Rarely,Sometimes,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Using weapons or carrying dangerous objects that could hurt others",65.0,20.0,62.5,25.0,43.125,High Risk,Low Risk,High Risk,Low Risk,44.0875
140,Female,Always,Never,Always,Always,Never,Always,Often,No,Rarely,Sometimes,Sometimes,Rarely,Always,Often,Often,Often,Never,Rarely,Sometimes,Rarely,Sometimes,Never,Always,Often,Rarely,Sometimes,Sometimes,Often,Rarely,Distractions,I dont feel anxious,Yes,No,yes,yes,yes,No,Technical issues  ,Often,Always,Never,Always,No,Always,Often,Never,Rarely,Solving on my own  ,Always,No,Yoga or meditation  ,Always,Always,Never,Rarely,Sometimes,Sometimes,Always,Often,Sometimes,Rarely,No,No,Always,Always,"Bullying or getting into fights, Driving without a license, Running away from home, Using weapons or carrying dangerous objects that could hurt others",55.00000000000001,55.00000000000001,50.0,41.66666666666667,50.41666666666667,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,48.41875000000001
141,Male,Often,Often,Never,Always,Sometimes,Always,Often,Sometimes,Often,Often,Rarely,Often,Always,Often,Sometimes,Often,Always,Never,Sometimes,Rarely,Never,Rarely,Often,Always,Rarely,Always,Rarely,Rarely,Often,Difficulty managing time,Studies,No,Yes,No,yes,yes,No,Lack of time management  ,Often,Never,Often,Rarely,Yes,Always,Always,Often,Sometimes,Talking to teachers  ,Often,Yes,Helping others  ,Always,Always,Rarely,Never,Sometimes,Rarely,Rarely,Rarely,Often,Often,Not Sure,Not Sure,Often,Skip,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Driving without a license, Running away from home, Avoiding homework or assignments intentionally",40.0,65.0,45.83333333333333,75.0,56.45833333333333,Moderate Risk,High Risk,Moderate Risk,High Risk,56.06249999999996
142,Male,Never,Rarely,Rarely,Never,Never,Sometimes,Rarely,Yes,Always,Sometimes,Never,Often,Sometimes,Sometimes,Often,Rarely,Always,Never,Never,Often,Sometimes,Often,Often,Sometimes,Always,Never,Rarely,Always,Rarely,Lack of concentration,Career,Yes,No,yes,No,yes,No,Lack of social interaction  ,Often,Rarely,Often,Often,No,Never,Rarely,Never,Always,Waiting for things to improve  ,Sometimes,No,Watching TV  ,Always,Often,Sometimes,Never,Always,Sometimes,Never,Rarely,Never,Never,Not Sure,Not Sure,Always,Sometimes,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Stealing or shoplifting, Using weapons or carrying dangerous objects that could hurt others",30.0,55.00000000000001,41.66666666666667,33.33333333333333,40.0,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,41.35833333333334
143,Prefer not to say,Always,Rarely,Often,Never,Often,Rarely,Never,No,Rarely,Often,Always,Sometimes,Sometimes,Never,Often,Always,Always,Rarely,Always,Always,Sometimes,Always,Never,Always,Sometimes,Always,Often,Always,Rarely,Difficulty understanding content,Exams,No,Yes,yes,No,yes,Yes,Electricity/internet problems  ,Never,Never,Rarely,Rarely,Yes,Never,Sometimes,Rarely,Rarely,Talking to friends  ,Rarely,Yes,Writing a diary  ,Often,Often,Rarely,Rarely,Rarely,Always,Rarely,Rarely,Never,Always,Yes,Yes,Skip,Often,"Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Avoiding homework or assignments intentionally",50.0,75.0,29.166666666666668,16.666666666666664,42.70833333333333,Moderate Risk,High Risk,Low Risk,Low Risk,43.11875000000002
144,Prefer not to say,Sometimes,Never,Often,Often,Rarely,Sometimes,Always,No,Always,Always,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Always,Never,Rarely,Always,Always,Rarely,Rarely,Often,Sometimes,Rarely,Rarely,Distractions,College admissions,No,Yes,No,yes,yes,No,Personal reasons  ,Rarely,Never,Often,Sometimes,No,Often,Rarely,Always,Sometimes,Talking to teachers  ,Always,No,Changing the way I think  ,Rarely,Always,Often,Always,Never,Never,Often,Never,Sometimes,Never,No,No,Sometimes,Never,"Driving without a license, Stealing or shoplifting, Using weapons or carrying dangerous objects that could hurt others",30.0,15.0,54.166666666666664,75.0,43.541666666666664,Moderate Risk,Low Risk,Moderate Risk,High Risk,44.289583333333304
145,Female,Rarely,Never,Sometimes,Sometimes,Rarely,Never,Always,No,Never,Never,Often,Often,Sometimes,Always,Often,Always,Sometimes,Never,Never,Always,Rarely,Sometimes,Sometimes,Rarely,Never,Often,Sometimes,Sometimes,Always,Poor study habits,Results,Yes,yes,yes,yes,No,No,Difficulty understanding content  ,Often,Always,Sometimes,Always,Yes,Sometimes,Always,Sometimes,Never,Solving on my own  ,Sometimes,No,Yoga or meditation  ,Always,Sometimes,Never,Always,Rarely,Never,Never,Rarely,Often,Often,Not Sure,Not Sure,Skip,Often,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Using weapons or carrying dangerous objects that could hurt others",45.0,65.0,45.83333333333333,33.33333333333333,47.29166666666666,Moderate Risk,High Risk,Moderate Risk,Moderate Risk,51.94583333333333
146,Male,Rarely,Always,Always,Rarely,Always,Never,Rarely,Yes,Never,Sometimes,Sometimes,Never,Sometimes,Often,Rarely,Always,Often,Always,Rarely,Rarely,Sometimes,Rarely,Rarely,Always,Rarely,Often,Sometimes,Never,Rarely,Difficulty understanding content,I dont feel anxious,No,yes,yes,yes,No,No,Technical issues  ,Often,Often,Never,Never,Yes,Always,Sometimes,Always,Rarely,Talking to parents  ,Always,No,Helping others  ,Always,Sometimes,Rarely,Never,Often,Always,Always,Sometimes,Rarely,Never,Not Sure,Not Sure,Rarely,Rarely,"Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally",55.00000000000001,40.0,37.5,75.0,51.875,Moderate Risk,Moderate Risk,Moderate Risk,High Risk,52.42500000000001
147,Male,Rarely,Always,Always,Often,Always,Often,Often,No,Rarely,Never,Often,Sometimes,Always,Never,Rarely,Always,Always,Never,Rarely,Always,Often,Rarely,Always,Rarely,Never,Rarely,Never,Sometimes,Rarely,Lack of concentration,Studies,Yes,No,yes,yes,yes,No,Lack of social interaction  ,Never,Sometimes,Always,Always,No,Never,Often,Often,Often,Waiting for things to improve  ,Sometimes,Yes,Watching TV  ,Sometimes,Sometimes,Always,Never,Rarely,Rarely,Rarely,Never,Sometimes,Always,No,No,Sometimes,Often,"Running away from home, Using weapons or carrying dangerous objects that could hurt others",60.0,40.0,37.5,50.0,46.875,High Risk,Moderate Risk,Moderate Risk,Moderate Risk,45.81249999999999
148,Male,Never,Never,Always,Always,Often,Rarely,Sometimes,Yes,Never,Always,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Often,Always,Sometimes,Sometimes,Always,Always,Often,Sometimes,Often,Sometimes,Never,Often,Always,Sometimes,Difficulty managing time,Results,No,Yes,No,yes,No,Yes,Lack of time management  ,Never,Always,Always,Often,No,Rarely,Rarely,Sometimes,Sometimes,Ignoring the feelings  ,Often,No,Changing the way I think  ,Rarely,Never,Never,Never,Rarely,Rarely,Always,Always,Rarely,Always,Not Sure,Not Sure,Often,Often,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",85.0,55.00000000000001,25.0,41.66666666666667,51.66666666666667,High Risk,Moderate Risk,Low Risk,Moderate Risk,52.10208333333333
149,Male,Always,Rarely,Never,Often,Always,Sometimes,Never,Yes,Rarely,Always,Never,Always,Sometimes,Never,Rarely,Sometimes,Often,Never,Rarely,Rarely,Always,Never,Often,Often,Never,Rarely,Often,Often,Often,Distractions,Career,No,yes,No,yes,yes,No,Electricity/internet problems  ,Always,Always,Often,Sometimes,No,Always,Often,Sometimes,Often,Talking to teachers  ,Never,Yes,Writing a diary  ,Never,Never,Never,Always,Rarely,Always,Sometimes,Rarely,Rarely,Often,Yes,Yes,Always,Sometimes,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Running away from home, Avoiding homework or assignments intentionally",80.0,85.0,29.166666666666668,75.0,67.29166666666666,High Risk,High Risk,Low Risk,High Risk,55.3958333333333
150,Female,Rarely,Always,Never,Rarely,Never,Sometimes,Always,Sometimes,Rarely,Never,Often,Never,Always,Often,Sometimes,Often,Always,Sometimes,Rarely,Often,Often,Often,Often,Never,Rarely,Rarely,Always,Often,Always,Poor study habits,College admissions,No,Yes,yes,No,yes,No,Personal reasons  ,Sometimes,Rarely,Often,Never,No,Often,Rarely,Never,Never,Solving on my own  ,Sometimes,Yes,Yoga or meditation  ,Sometimes,Rarely,Often,Rarely,Never,Always,Rarely,Always,Always,Sometimes,No,No,Always,Often,"Skipping classes, Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting",55.00000000000001,40.0,54.166666666666664,25.0,43.541666666666664,Moderate Risk,Moderate Risk,Moderate Risk,Low Risk,43.141666666666644
151,Prefer not to say,Sometimes,Always,Sometimes,Sometimes,Rarely,Always,Often,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Always,Often,Never,Sometimes,Sometimes,Never,Rarely,Often,Sometimes,Rarely,Always,Sometimes,Often,Never,Often,Lack of concentration,Exams,No,No,No,yes,yes,No,Difficulty understanding content  ,Often,Never,Always,Rarely,Yes,Often,Often,Often,Always,Talking to friends  ,Often,Yes,Helping others  ,Never,Often,Always,Sometimes,Never,Never,Often,Often,Rarely,Often,Not Sure,Not Sure,Always,Always,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",50.0,75.0,54.166666666666664,83.33333333333334,65.625,Moderate Risk,High Risk,Moderate Risk,High Risk,63.13125
152,Female,Rarely,Never,Never,Always,Always,Often,Rarely,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Always,Often,Rarely,Sometimes,Often,Often,Never,Never,Often,Often,Rarely,Never,Always,Sometimes,Difficulty understanding content,I dont feel anxious,No,Yes,No,yes,yes,Yes,Technical issues  ,Rarely,Sometimes,Always,Rarely,Yes,Always,Never,Sometimes,Often,Talking to parents  ,Often,No,Watching TV  ,Rarely,Sometimes,Often,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,No,No,Rarely,Sometimes,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Avoiding homework or assignments intentionally",50.0,15.0,50.0,75.0,47.5,Moderate Risk,Low Risk,Moderate Risk,High Risk,49.149999999999984
153,Female,Always,Never,Always,Often,Rarely,Rarely,Always,Yes,Never,Always,Rarely,Often,Rarely,Often,Sometimes,Always,Never,Always,Never,Always,Rarely,Rarely,Always,Rarely,Often,Always,Never,Never,Sometimes,Distractions,Exams,No,Yes,yes,yes,yes,No,Electricity/internet problems  ,Rarely,Often,Often,Always,Yes,Sometimes,Sometimes,Never,Never,Waiting for things to improve  ,Sometimes,Yes,Writing a diary  ,Rarely,Rarely,Rarely,Sometimes,Always,Rarely,Never,Always,Sometimes,Often,Yes,Yes,Sometimes,Skip,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Running away from home, Avoiding homework or assignments intentionally",50.0,70.0,58.333333333333336,16.666666666666664,48.75,Moderate Risk,High Risk,Moderate Risk,Low Risk,54.89999999999999
154,Female,Never,Sometimes,Never,Never,Sometimes,Always,Always,No,Always,Often,Sometimes,Often,Always,Never,Rarely,Always,Never,Always,Never,Rarely,Never,Always,Always,Never,Sometimes,Often,Sometimes,Sometimes,Rarely,Difficulty managing time,Career,No,No,No,yes,yes,Yes,Lack of time management  ,Often,Rarely,Never,Always,No,Never,Never,Rarely,Rarely,Ignoring the feelings  ,Sometimes,No,Changing the way I think  ,Always,Sometimes,Sometimes,Never,Sometimes,Always,Rarely,Always,Never,Always,Not Sure,Not Sure,Skip,Often,"Skipping classes, Bullying or getting into fights, Driving without a license, Running away from home",50.0,45.0,41.66666666666667,16.666666666666664,38.333333333333336,Moderate Risk,Moderate Risk,Moderate Risk,Low Risk,41.13333333333338
155,Prefer not to say,Sometimes,Rarely,Never,Always,Always,Often,Rarely,No,Always,Sometimes,Always,Never,Never,Always,Always,Rarely,Often,Always,Always,Sometimes,Always,Sometimes,Often,Sometimes,Sometimes,Never,Always,Rarely,Always,Poor study habits,College admissions,No,No,No,No,yes,No,Lack of social interaction  ,Often,Always,Never,Never,No,Often,Sometimes,Never,Always,Talking to teachers  ,Rarely,No,Yoga or meditation  ,Often,Never,Always,Never,Often,Never,Often,Always,Never,Rarely,Yes,Yes,Often,Rarely,"Stealing or shoplifting, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",40.0,70.0,45.83333333333333,58.333333333333336,53.541666666666664,Moderate Risk,High Risk,Moderate Risk,Moderate Risk,55.48333333333334
156,Male,Always,Never,Never,Sometimes,Never,Rarely,Never,No,Never,Always,Rarely,Often,Sometimes,Rarely,Rarely,Often,Sometimes,Always,Often,Often,Rarely,Rarely,Always,Often,Always,Always,Never,Sometimes,Always,Lack of concentration,Studies,No,yes,yes,No,yes,Yes,Personal reasons  ,Rarely,Often,Rarely,Rarely,No,Rarely,Sometimes,Sometimes,Never,Talking to parents  ,Sometimes,No,Helping others  ,Sometimes,Often,Never,Never,Never,Rarely,Sometimes,Rarely,Never,Always,Not Sure,Not Sure,Sometimes,Never,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Avoiding homework or assignments intentionally, Using weapons or carrying dangerous objects that could hurt others",55.00000000000001,40.0,16.666666666666664,25.0,34.166666666666664,Moderate Risk,Moderate Risk,Low Risk,Low Risk,38.987499999999976
157,Female,Sometimes,Often,Often,Always,Sometimes,Always,Often,No,Often,Rarely,Always,Rarely,Often,Often,Often,Sometimes,Always,Never,Always,Always,Rarely,Never,Rarely,Often,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Difficulty managing time,Results,No,No,No,yes,yes,No,Technical issues  ,Often,Rarely,Often,Always,Yes,Never,Rarely,Always,Often,Solving on my own  ,Never,Yes,Changing the way I think  ,Always,Never,Often,Rarely,Often,Sometimes,Often,Often,Rarely,Rarely,Yes,Yes,Never,Rarely,"Skipping classes, Stealing or shoplifting, Running away from home, Avoiding homework or assignments intentionally",50.0,50.0,45.83333333333333,58.333333333333336,51.041666666666664,Moderate Risk,Moderate Risk,Moderate Risk,Moderate Risk,51.17708333333333
158,Female,Often,Sometimes,Often,Rarely,Rarely,Always,Rarely,Yes,Rarely,Often,Rarely,Never,Never,Rarely,Always,Always,Always,Always,Often,Rarely,Rarely,Never,Sometimes,Rarely,Often,Never,Often,Rarely,Sometimes,Distractions,I dont feel anxious,Yes,yes,yes,yes,yes,Yes,Difficulty understanding content  ,Always,Sometimes,Always,Sometimes,Yes,Often,Often,Often,Rarely,Waiting for things to improve  ,Often,No,Watching TV  ,Rarely,Often,Sometimes,Sometimes,Always,Sometimes,Rarely,Rarely,Sometimes,Always,Yes,Yes,Often,Skip,"Bullying or getting into fights, Driving without a license, Running away from home, Using weapons or carrying dangerous objects that could hurt others",65.0,80.0,58.333333333333336,58.333333333333336,65.41666666666667,High Risk,High Risk,Moderate Risk,Moderate Risk,55.822916666666686
159,Prefer not to say,Always,Sometimes,Never,Sometimes,Often,Always,Often,Yes,Always,Rarely,Never,Never,Never,Sometimes,Rarely,Always,Always,Always,Always,Always,Rarely,Sometimes,Always,Rarely,Never,Never,Rarely,Never,Rarely,Poor study habits,Career,Yes,No,No,yes,yes,Yes,Lack of time management  ,Rarely,Rarely,Often,Always,No,Always,Never,Always,Rarely,Talking to friends  ,Often,No,Writing a diary  ,Rarely,Often,Often,Rarely,Never,Often,Often,Rarely,Rarely,Rarely,Yes,Yes,Skip,Sometimes,"Driving without a license, Stealing or shoplifting",55.00000000000001,60.0,37.5,75.0,56.875,Moderate Risk,High Risk,Moderate Risk,High Risk,56.31458333333333
160,Female,Sometimes,Always,Never,Always,Often,Rarely,Often,No,Always,Rarely,Always,Often,Often,Rarely,Rarely,Always,Always,Never,Always,Never,Sometimes,Always,Always,Never,Rarely,Rarely,Never,Never,Always,Difficulty understanding content,Exams,Yes,Yes,yes,yes,No,No,Electricity/internet problems  ,Often,Often,Often,Rarely,Yes,Rarely,Sometimes,Rarely,Never,Ignoring the feelings  ,Sometimes,Yes,Yoga or meditation  ,Never,Never,Sometimes,Sometimes,Never,Often,Often,Rarely,Rarely,Never,Not Sure,Not Sure,Never,Skip,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Stealing or shoplifting, Running away from home",60.0,40.0,25.0,16.666666666666664,35.416666666666664,High Risk,Moderate Risk,Low Risk,Low Risk,38.1208333333333
161,Female,Rarely,Often,Sometimes,Sometimes,Often,Always,Often,Yes,Always,Always,Often,Never,Sometimes,Rarely,Sometimes,Never,Sometimes,Often,Never,Always,Often,Never,Always,Sometimes,Never,Often,Always,Sometimes,Never,Lack of concentration,Studies,Yes,Yes,yes,yes,No,Yes,Lack of social interaction  ,Never,Never,Rarely,Often,Yes,Sometimes,Always,Rarely,Often,Talking to teachers  ,Always,No,Helping others  ,Never,Never,Rarely,Often,Often,Often,Often,Always,Always,Sometimes,Yes,Yes,Never,Skip,"Skipping classes, Bullying or getting into fights, Experimenting with substances I try alcohol, smoking, or other substances, Driving without a license, Running away from home, Using weapons or carrying dangerous objects that could hurt others",45.0,70.0,62.5,50.0,56.875,Moderate Risk,High Risk,High Risk,Moderate Risk,55.625
162,Female,Never,Always,Sometimes,Always,Often,Never,Rarely,Yes,Often,Always,Never,Sometimes,Rarely,Never,Always,Never,Rarely,Rarely,Sometimes,Always,Often,Sometimes,Never,Rarely,Often,Sometimes,Rarely,Often,Never,Distractions,College admissions,No,Yes,yes,No,No,Yes,Personal reasons  ,Always,Sometimes,Rarely,Sometimes,No,Never,Often,Never,Always,Talking to parents  ,Sometimes,Yes,Watching TV  ,Always,Sometimes,Always,Sometimes,Never,Often,Always,Never,Often,Often,Yes,Yes,Skip,Skip,"Skipping classes, Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Bullying or getting into fights, Driving without a license, Stealing or shoplifting, Using weapons or carrying dangerous objects that could hurt others",65.0,75.0,45.83333333333333,33.33333333333333,54.79166666666666,High Risk,High Risk,Moderate Risk,Moderate Risk,52.43333333333336
163,Female,Sometimes,Often,Sometimes,Never,Always,Never,Often,Sometimes,Never,Always,Rarely,Sometimes,Sometimes,Often,Sometimes,Never,Rarely,Sometimes,Never,Rarely,Sometimes,Never,Rarely,Rarely,Always,Never,Sometimes,Never,Often,Difficulty understanding content,Results,No,Yes,No,yes,yes,Yes,Difficulty understanding content  ,Rarely,Always,Rarely,Rarely,No,Never,Never,Often,Always,Solving on my own  ,Never,No,Changing the way I think  ,Often,Rarely,Sometimes,Rarely,Sometimes,Always,Rarely,Never,Sometimes,Sometimes,Yes,Yes,Never,Never,"Engaging in unsafe actions (e.g., reckless behavior, unsafe stunts), Experimenting with substances I try alcohol, smoking, or other substances, Stealing or shoplifting, Running away from home",60.0,40.0,33.33333333333333,58.333333333333336,47.916666666666664,High Risk,Moderate Risk,Moderate Risk,Moderate Risk,48.35416666666667
164,Female,Sometimes,Sometimes,Rarely,Often,Always,Never,Often,Yes,Rarely,Never,Never,Never,Always,Rarely,Rarely,Rarely,Always,Never,Often,Often,Never,Always,Always,Often,Sometimes,Often,Always,Always,Sometimes,Poor study habits,I dont feel anxious,Yes,No,No,No,No,No,Technical issues  ,Always,Sometimes,Sometimes,Rarely,Yes,Always,Rarely,Sometimes,Sometimes,Waiting for things to improve  ,Always,No,Writing a diary  ,Rarely,Never,Never,Rarely,Rarely,Always,Always,Often,Often,Never,No,No,Always,Never,"Skipping classes, Bullying or getting into fights, Stealing or shoplifting, Using weapons or carrying dangerous objects that could hurt others",60.0,25.0,33.33333333333333,66.66666666666666,46.25,High Risk,Low Risk,Moderate Risk,High Risk,46.06875
